dLQbcccdegj, tet1: 0, tet2: 2, searched: 1, height: 1
nLALvAzQPkbcbeigilkjmmlmhxjnnoblpupenu, tet1: 8, tet2: 10, searched: 859, height: 5
mLLLLAQMPccffhiiijjklldwarngknmajxk, tet1: 10, tet2: 9, searched: 379, height: 4
nLALvAzQPkbcbeigilkjmmlmhxwnnoblpupenu, tet1: 8, tet2: 10, searched: 825, height: 5
mLLLLAQMPccffhiiijjklldwarngknmajqj, tet1: 10, tet2: 9, searched: 379, height: 4
mLALvLAQQbcbejihiljkllxxnnmvnrqecsr, tet1: 11, tet2: 7, searched: 450, height: 4
mLALvLAQQbcbejihiljkllhxwnmvnrqecsr, tet1: 11, tet2: 7, searched: 450, height: 4
mLALLvQPQbcbegiijkjlllxhjsliqptocfc, tet1: 9, tet2: 6, searched: 471, height: 4
mLAvLAAMQcbbfhggjjklllqhkxewsaxxvkj, tet1: 4, tet2: 9, searched: 2511, height: 4
mLALLvQPQbcbegiijkjlllxhnsliqptocfc, tet1: 9, tet2: 6, searched: 451, height: 4
mLAvLAAMQcbbfhggjjklllqhrxewsaxxvkj, tet1: 4, tet2: 9, searched: 2457, height: 4
oLLzLMLQMMccdcgfjkljkllmnnhsrsfpahdosghxr, tet1: 12, tet2: 9, searched: 695, height: 6
jLLLMQPcdffegghiidvlasrwbqj, tet1: 8, tet2: 2, searched: 6, height: 1
oLLzLMLQMMccdcgfjkljkllmnnqsjsfpahdosghxr, tet1: 12, tet2: 9, searched: 695, height: 6
nLLAvLMQPkceddiikklikmlmtivnilanfbwxjn, tet1: 10, tet2: 7, searched: 996, height: 5
mLLPwzQzQbcefehhijklklpkhdhhhxrqqwn, tet1: 9, tet2: 4, searched: 3707, height: 4
mLLLLLQPQbdfggikjkjklldwtgjjddhpdws, tet1: 10, tet2: 9, searched: 1476, height: 4
mLLPLvQAQcdcehikhkjkllhsnpuulqrjjpk, tet1: 9, tet2: 5, searched: 499, height: 4
mLLLLLQPQbdfggikjkjklldwtgjjddhpdww, tet1: 10, tet2: 9, searched: 1279, height: 4
