id,oriented,tetrahedra,flat count,negative count
NLLLMAMzMzMzMzMzMzMzMzMzMzQcdgfefhijklmnopqrstuvwxyzABCDEFGHIJKLMMMasaassoaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaamm,0,39,35,0
MLLLAPzMMzMzMzMzMzMzMzMzMPcbefgfihjkljmnopqrstuvwxyzABCDEFGHIJKLLLaadldafhaakaaaaaaaaaaaaaaaaaaaaaaaaaatt,0,38,33,0
OLLLwMAMMzMzMzMzMzMzMzMzMzMkbedgigjhkljmnopqrstuvwxyzABCDEFGHIJKLMNNNaafhaohfaasaaaaaaaaaaaaaaaaaaaaaaaaaaaaii,0,40,35,0
KLMzMzMzMzMzMzMzMzMzMzMzQbcdefghijklmnopqrstuvwxyzABCDEFGHIJJJaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaahxpi,0,36,34,0
OLLLwMQzMzMzMzMzMzMzMzMzMzMkbedgigjhhklmnopqrstuvwxyzABCDEFGHIJKLMNNNaafhaoajkaaaaaaaaaaaaaaaaaaaaaaaaaaaaaass,0,40,36,0
NLLLwAAMPzMzMzMzMzMzMzMzMzQbdfggijhklmknopqrstuvwxyzABCDEFGHIJKLMMMhgahbaawxaajaaaaaaaaaaaaaaaaaaaaaaaaaann,0,39,33,0
NLLLwQzMMzMzMzMzMzMzMzMzMzQbedfighjkljmnopqrstuvwxyzABCDEFGHIJKLMMMaafhasjhaakaaaaaaaaaaaaaaaaaaaaaaaaaaajj,0,39,34,0
PLLLwMAMMzMzMzMzMzMzMzMzMzMPcbedgijghkljmnopqrstuvwxyzABCDEFGHIJKLMNOOOaafhahjjaanaaaaaaaaaaaaaaaaaaaaaaaaaaaaajj,0,41,36,0
NLLAMzMzMzMzMzMzMzMzMzMzMzQbcedfghijklmnopqrstuvwxyzABCDEFGHIJKLMMMlsajaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaadd,0,39,36,0
PLLLMAMzMzMzMzMzMzMzMzMzMzMPccdgfefhijklmnopqrstuvwxyzABCDEFGHIJKLMNOOOasaassoaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaamm,0,41,37,0
OLLLAPzMMzMzMzMzMzMzMzMzMzMkbefgfihjkljmnopqrstuvwxyzABCDEFGHIJKLMNNNaadldafhaakaaaaaaaaaaaaaaaaaaaaaaaaaaaatt,0,40,35,0
QLLLwMAMMzMzMzMzMzMzMzMzMzMzQbedgigjhkljmnopqrstuvwxyzABCDEFGHIJKLMNOPPPaafhaohfaasaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaii,0,42,37,0
MLMzMzMzMzMzMzMzMzMzMzMzMPcbcdefghijklmnopqrstuvwxyzABCDEFGHIJKLLLaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaahxet,0,38,36,0
QLLLwMQzMzMzMzMzMzMzMzMzMzMzQbedgigjhhklmnopqrstuvwxyzABCDEFGHIJKLMNOPPPaafhaoajkaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaass,0,42,38,0
